mukey,FirstOfslopegradwta,FirstOfbrockdepmin,SumOfksat_weight1,SumOfsand_weight1,SumOfsilt_weight1,SumOfclay_weight1,SumOffieldcap_weight1,SumOfwiltpt_weight1,SumOfmaxdepth_weight,texture,texdesc,texcl
281354,20,,7.584262919,53.18974366,40.47434648,2.629712676,14.11382155,5.165944647,99.42,FSL,Fine sandy loam,Fine sandy loam
281356,12,71,16.08300961,53.15687416,32.09281415,3.094512554,18.7756893,7.530325831,83.34,FSL,Fine sandy loam,Fine sandy loam
281357,19.89999962,71,16.06603362,52.70153766,31.8737673,3.078620331,19.15393179,7.731085065,82.43,FSL,Fine sandy loam,Fine sandy loam
281358,38,71,16.53300961,53.24627416,31.89871415,3.049212554,18.7398993,7.495585835,83.34,FSL,Fine sandy loam,Fine sandy loam
281360,20,48,17.13241675,51.27566214,38.44488025,5.279457332,22.93519355,10.59260413,56.54,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281361,43,48,17.13241675,51.27566214,38.44488025,5.279457332,22.93447355,10.59188413,56.54,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281364,11,63,10.56687484,69.19567967,23.44767036,6.356648361,18.54490068,7.237515766,77.99,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281365,20,63,10.56687484,69.19567967,23.44767036,6.356648361,18.54490068,7.237515766,77.99,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281366,43,63,10.56687484,69.19567967,23.44767036,6.356648361,18.54490068,7.237515766,77.99,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281368,11,43,11.12823697,63.53597062,24.90492897,6.559098361,19.25771094,7.592637004,54.12,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281369,20,43,11.12823697,63.53597062,24.90492897,6.559098361,19.25771094,7.592637004,54.12,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281370,43,43,11.12823697,63.8399706,24.60092897,6.559098361,19.26899094,7.614917001,54.12,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281371,4.599999905,,6.464371552,40.1905,49.8931,6.0164,19.57847998,6.371420069,100,CN-SIL,Channery silt loam,Silt loam
281374,5,,7.972563225,66.33109514,27.16890474,6.5,18.65209128,7.441772708,98.52,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281375,10.80000019,,7.972563225,66.33109514,27.16890474,6.5,18.65209128,7.441772708,98.52,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281376,19.39999962,,7.972563225,66.33109514,27.16890474,6.5,18.65209128,7.441772708,98.52,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281377,4.900000095,,6.389372767,57.50601739,38.65810435,3.835878261,14.44373461,5.983639138,98.92,SL,Sandy loam,Sandy loam
281378,12,,6.316835018,57.80544945,38.30855274,3.885997802,14.31555081,5.966981655,99.82,SL,Sandy loam,Sandy loam
281379,20,,6.409131727,57.73322418,38.51317912,3.753596703,14.22098632,5.891537479,99.73,SL,Sandy loam,Sandy loam
281381,19.70000076,0,12.12535958,41.94210721,28.47752911,4.240829088,18.48156415,7.292365362,52.95,CN-L,Channery loam,Loam
281383,39.40000153,46,12.80930685,45.05204023,30.24691639,4.619610441,19.50453907,7.64655005,53.46,CN-L,Channery loam,Loam
281384,5,,9.529256951,61.17163478,36.3199087,2.508456522,12.97741964,4.566708236,97.84,FSL,Fine sandy loam,Fine sandy loam
281385,12,,9.494156951,61.12163478,36.3365087,2.541856522,13.01142964,4.591828236,97.84,FSL,Fine sandy loam,Fine sandy loam
