LandisData	Dynamic Input Data				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	12	TSUGCANA	0.004	327	9800
0	13	ABIEBALS	0.827	264	7910
0	13	ACERPENS	0.14	752	22570
0	13	ACERRUBR	0.08	625	18760
0	13	ACERSACC	0.254	832	24970
0	13	BETUALLE	0.449	764	22920
0	13	BETUPAPY	0.844	810	24300
0	13	FAGUGRAN	0.031	692	20760
0	13	FRAXAMER	0.049	720	21590
0	13	LARILARI	0.889	41	1220
0	13	PICEMARI	0.734	164	4920
0	13	PICERUBE	0.14	165	4940
0	13	PINURESI	0.655	190	5710
0	13	PINUSTRO	0.41	599	17980
0	13	POPUGRAN	0.358	908	27250
0	13	POPUTREM	0.79	734	22020
0	13	PRUNSERO	0.112	894	26820
0	13	QUERRUBR	0.432	683	20500
0	13	SORBAMER	0.895	297	8920
0	13	TILIAMER	0.083	1095	32850
0	13	TSUGCANA	0.304	252	7550
0	14	ABIEBALS	0.833	272	8170
0	14	ACERPENS	0.149	744	22330
0	14	ACERRUBR	0.084	616	18470
0	14	ACERSACC	0.257	821	24640
0	14	BETUALLE	0.453	754	22620
0	14	BETUPAPY	0.849	799	23980
0	14	FAGUGRAN	0.041	683	20480
0	14	FRAXAMER	0.06	710	21290
0	14	LARILARI	0.906	41	1230
0	14	PICEMARI	0.744	170	5090
0	14	PICERUBE	0.149	171	5120
0	14	PINURESI	0.614	184	5520
0	14	PINUSTRO	0.411	598	17940
0	14	POPUGRAN	0.358	897	26900
0	14	POPUTREM	0.795	723	21700
0	14	PRUNSERO	0.124	882	26460
0	14	QUERRUBR	0.432	673	20190
0	14	SORBAMER	0.885	310	9290
0	14	TILIAMER	0.101	1083	32500
0	14	TSUGCANA	0.337	260	7800
0	15	ABIEBALS	0.79	287	8610
0	15	ACERPENS	0.017	736	22070
0	15	ACERRUBR	0.021	609	18260
0	15	ACERSACC	0.084	812	24370
0	15	BETUALLE	0.236	745	22360
0	15	BETUPAPY	0.903	789	23680
0	15	FAGUGRAN	0.001	675	20240
0	15	FRAXAMER	0.01	701	21040
0	15	LARILARI	0.89	43	1300
0	15	PICEMARI	0.866	178	5340
0	15	PICERUBE	0.017	180	5400
0	15	PINURESI	0.394	175	5250
0	15	PINUSTRO	0.217	591	17740
0	15	POPUGRAN	0.177	886	26590
0	15	POPUTREM	0.683	715	21440
0	15	PRUNSERO	0.039	872	26170
0	15	QUERRUBR	0.281	665	19940
0	15	SORBAMER	0.838	320	9590
0	15	TILIAMER	0.011	1072	32150
0	15	TSUGCANA	0.193	272	8170
0	16	ABIEBALS	0.7	307	9210
0	16	ACERPENS	0.006	706	21180
0	16	ACERRUBR	0.009	577	17310
0	16	ACERSACC	0.036	774	23220
0	16	BETUALLE	0.122	710	21300
0	16	BETUPAPY	0.876	751	22540
0	16	FAGUGRAN	0.001	644	19310
0	16	FRAXAMER	0.005	666	19980
0	16	LARILARI	0.845	40	1210
0	16	PICEMARI	0.93	189	5670
0	16	PICERUBE	0.006	192	5760
0	16	PINURESI	0.182	152	4550
0	16	PINUSTRO	0.096	567	17010
0	16	POPUGRAN	0.09	846	25370
0	16	POPUTREM	0.51	678	20350
0	16	PRUNSERO	0.018	832	24950
0	16	QUERRUBR	0.151	629	18860
0	16	SORBAMER	0.729	337	10100
0	16	TILIAMER	0.002	1027	30810
0	16	TSUGCANA	0.108	289	8670
0	17	ABIEBALS	0.853	284	8510
0	17	ACERPENS	0.052	740	22200
0	17	ACERRUBR	0.041	612	18360
0	17	ACERSACC	0.139	816	24480
0	17	BETUALLE	0.311	748	22450
0	17	BETUPAPY	0.922	793	23800
0	17	FAGUGRAN	0.008	679	20360
0	17	FRAXAMER	0.017	705	21140
0	17	LARILARI	0.927	43	1290
0	17	PICEMARI	0.875	177	5300
0	17	PICERUBE	0.052	178	5330
0	17	PINURESI	0.498	179	5370
0	17	PINUSTRO	0.281	595	17860
0	17	POPUGRAN	0.229	891	26730
0	17	POPUTREM	0.716	718	21550
0	17	PRUNSERO	0.059	876	26290
0	17	QUERRUBR	0.345	667	20020
0	17	SORBAMER	0.87	322	9670
0	17	TILIAMER	0.032	1077	32310
0	17	TSUGCANA	0.221	270	8110
0	18	ABIEBALS	0.732	304	9110
0	18	ACERPENS	0.008	710	21290
0	18	ACERRUBR	0.01	582	17450
0	18	ACERSACC	0.037	779	23370
0	18	BETUALLE	0.122	715	21440
0	18	BETUPAPY	0.855	756	22690
0	18	FAGUGRAN	0	648	19430
0	18	FRAXAMER	0.001	671	20120
0	18	LARILARI	0.842	41	1230
0	18	PICEMARI	0.932	187	5610
